产品型号,产品类型,材料,尺寸,参数,镀膜,总数,空余数量,备注
AD408-B,消色差胶合透镜,N-LAK22/N-SF6HT,直径25.4mm,焦距100.0mm,增透膜700nm-1100nm,1,1,
AD412-AB,消色差胶合透镜,N-BAF10/N-SF6,直径25.4mm,焦距75.0mm,增透膜400nm-1100nm,1,1,
BCX10609-B,双凸透镜,N-BK7,直径25.4mm,焦距40.0mm,增透膜700nm-1100nm,2,2,
BCX10612-A,双凸透镜,N-BK7,直径25.4mm,焦距75.0mm,增透膜400nm-700nm,1,1,
BCX10612-B,双凸透镜,N-BK7,直径25.4mm,焦距75.0mm,增透膜700nm-1100nm,2,2,
BCX10613-A,双凸透镜,N-BK7,直径25.4mm,焦距100.0mm,增透膜400nm-700nm,1,1,
BCX10613-B,双凸透镜,N-BK7,直径25.4mm,焦距100.0mm,增透膜700nm-1100nm,5,5,
BCX10615-B,双凸透镜,N-BK7,直径25.4mm,焦距150.0mm,增透膜700nm-1100nm,1,1,
CX10614-B,平凸透镜,N-BK7,直径25.4mm,焦距125.0mm,增透膜700nm-1100nm,1,1,
CX10616-B,平凸透镜,N-BK7,直径25.4mm,焦距175.0mm,增透膜700nm-1100nm,1,1,
CX10617-B,平凸透镜,N-BK7,直径25.4mm,焦距200.0mm,增透膜700nm-1100nm,1,1,
CX10618-B,平凸透镜,N-BK7,直径25.4mm,焦距250.0mm,增透膜700nm-1100nm,1,1,
CX20608-B,平凸透镜,UVFS,直径25.4mm,焦距35.1mm,增透膜700nm-1100nm,1,1,
CX20615-B,平凸透镜,UVFS,直径25.4mm,焦距150.5mm,增透膜700nm-1100nm,2,2,
CY107R12-B,平凸圆形柱面透镜,N-BK7,直径25.4mm,焦距50.0mm,增透膜700nm-1100nm,1,1,
CY107R14-B,平凸圆形柱面透镜,N-BK7,直径25.4mm,焦距100.0mm,增透膜700nm-1100nm,1,1,
CY107R20-B,平凸圆形柱面透镜,N-BK7,直径25.4mm,焦距400.0mm,增透膜700nm-1100nm,1,1,
CY108114-B,平凸柱面透镜,N-BK7,长度32.0mm 高度30.0mm,焦距100.0mm,增透膜700nm-1100nm,1,1,
CY108117-B,平凸柱面透镜,N-BK7,长度32.0mm 高度30.0mm,焦距150.0mm,增透膜700nm-1100nm,1,1,
CY108127-B,平凸柱面透镜,N-BK7,长度32.0mm 高度30.0mm,焦距300.0mm,增透膜700nm-1100nm,2,2,
DM10-805SP,短波通二向色镜,UVFS,直径25.4mm, ,透射截止&反射起始805nm,1,1,
DM20-805SP,短波通二向色镜,UVFS,直径50.8mm, ,透射截止&反射起始805nm,1,1,
EDP125,等边色散棱镜,F2,边长25mm, ,未镀膜,1,1,
PBSFR-24-1030,激光线偏振平板分束镜,UVFS,尺寸25.0mm×36.0mm×1.0mm,,工作波长1030nm,4,4,
CX10610-B,平凸透镜,N-BK7,直径25.4mm,焦距50.0mm,增透膜700nm-1100nm,1,1,
GCL-L01207B,激光平凸透镜,UVFS,直径25.4mm,焦距1000.0mm,增透膜800nm-1100nm,2,2,
GCL-L01206B,激光平凸透镜,UVFS,直径25.4mm,焦距500.0mm,增透膜800nm-1100nm,2,2,
GCL-L01205B,激光平凸透镜,UVFS,直径25.4mm,焦距300.0mm,增透膜800nm-1100nm,2,2,
GCL-110103,平凸柱面镜,MgF,40mm×40mm,焦距400.0mm,,1,1,
PBSFR-24-532,激光线偏振平板分束镜,UVFS,尺寸25.0mm×36.0mm×1.0mm,,工作波长532nm,1,1,
BS1455-B,非偏振分束立方,N-BK7,L=25.4mm,R:T=5:5,增透膜700nm-1100nm,1,1,
